Episode,Score,Move count,Highest tile,Final grid
33135,16280,962,1024,"[[   2  256   64    2]
 [ 512   64   16    8]
 [1024  128    8    4]
 [   2    4   16    2]]"
31712,16276,969,1024,"[[1024    2   64   32]
 [ 256  512   32    4]
 [   8  128    8    2]
 [   2    4    2   32]]"
38328,16252,960,1024,"[[1024  512  256    4]
 [  64  128   64    8]
 [  16    4    2    4]
 [   2    8    4    2]]"
39400,16232,966,1024,"[[ 512   64    4    2]
 [1024  128   32    8]
 [ 256    4   16   32]
 [   4   16    4    2]]"
30072,16228,973,1024,"[[ 512    8    4    2]
 [   2  128  256   64]
 [1024    8   32    4]
 [  32    2    4    8]]"
21184,16228,960,1024,"[[1024  512    2   32]
 [  32  128  256   16]
 [   8   16   64    2]
 [   2    4   16    4]]"
31433,16224,964,1024,"[[   2    4   16    2]
 [1024  512  128    4]
 [ 256   64   32   16]
 [   2   32    8    4]]"
37795,16208,949,1024,"[[   2 1024  512    2]
 [   8   64  128  256]
 [   4   16   64    4]
 [   2    4    8    2]]"
21594,16204,974,1024,"[[   2  512  256    2]
 [   4 1024   64    8]
 [  16   32  128   16]
 [   8    4    8    4]]"
22388,16204,964,1024,"[[1024  512  256   32]
 [ 128   64   32    4]
 [   4   16    8    2]
 [   2    4    2    4]]"
38390,16200,946,1024,"[[   2  128    4   16]
 [ 512 1024   64    8]
 [ 256   64    8    4]
 [   4    8    4    2]]"
25186,16200,957,1024,"[[   2    4   16   64]
 [ 256 1024  512   32]
 [   2   16  128    8]
 [   8    4   32    2]]"
29263,16184,953,1024,"[[1024  512  256   32]
 [ 128   64   32    8]
 [   4   16    2   16]
 [   2    8    4    2]]"
30079,16180,969,1024,"[[  16 1024  512   32]
 [ 256  128   64    8]
 [   2    4   16    4]
 [   4    8    4    2]]"
35120,16176,955,1024,"[[1024  512  256   32]
 [ 128   64   32    8]
 [   4   16    8    4]
 [   2    8    4    2]]"
27376,16176,951,1024,"[[1024  128    2  512]
 [  64   32    4   16]
 [  16    8  256    8]
 [   4    2   32    4]]"
20079,16172,950,1024,"[[   2    4   16   64]
 [  32 1024  128    8]
 [   2  512   32    2]
 [   4  256   16    8]]"
41874,16164,954,1024,"[[   2    4  128    2]
 [   4  512   64    4]
 [1024   32  256   32]
 [   8    2   16    4]]"
22411,16164,949,1024,"[[   2    4  256   64]
 [   4  512   32    4]
 [1024   32  128   16]
 [   2    8   16    4]]"
33823,16156,947,1024,"[[  16   32    4   16]
 [1024  512  256    4]
 [   4   32  128   64]
 [   2    8    4    2]]"
31990,16152,950,1024,"[[   4    2  256   32]
 [1024  512   64    8]
 [  32  128   16    4]
 [   2    4    8    2]]"
30667,16152,956,1024,"[[1024  512   64   16]
 [ 256  128   16    8]
 [  16   32    8    2]
 [   2    8    2    4]]"
35685,16148,953,1024,"[[   2 1024  512    2]
 [ 256  128    4   32]
 [   8   32   64    8]
 [   2    8    4    2]]"
38312,16116,952,1024,"[[1024  512  256   16]
 [ 128   64   32    8]
 [   4   16    8    2]
 [   2    8    2    4]]"
37700,16112,951,1024,"[[   8    4    2   64]
 [1024  512  256    8]
 [  16  128   32    4]
 [   4   16    8    2]]"
35836,16108,950,1024,"[[   2    8  512    2]
 [   4  128  256   64]
 [1024   16   32    8]
 [   8    4   16    4]]"
41791,16104,944,1024,"[[   2  256   64   16]
 [1024  512   16    8]
 [  32  128    8    4]
 [   8   16    4    2]]"
30177,16096,953,1024,"[[   4  256   16    4]
 [ 512  128   32    2]
 [   8 1024   64    4]
 [   2    4    8    2]]"
33008,16088,951,1024,"[[   4 1024    4    2]
 [ 256   64  512   32]
 [   4   16  128    8]
 [   2    4    8    4]]"
38478,16084,945,1024,"[[   2 1024  512    2]
 [   8   16  128    4]
 [   4   32  256   64]
 [   2    8   16    4]]"
41769,16076,944,1024,"[[1024  512  128   16]
 [ 256   64   32    8]
 [   4   16    4    2]
 [   2    4    2    4]]"
40449,16076,948,1024,"[[1024  256   64    8]
 [ 512   32    8    4]
 [   4  128   16    2]
 [   2    4    2    4]]"
41578,16064,941,1024,"[[1024  512  128   32]
 [   4  256   64   16]
 [  16    4    2    4]
 [   2    8    4    2]]"
30091,16064,939,1024,"[[ 512    8  128   16]
 [1024   64  256    8]
 [   4   16   32    4]
 [   2    8    4    2]]"
34389,16060,949,1024,"[[   2 1024  256    4]
 [   4  512  128   64]
 [   8    2    8   32]
 [   2    4    2    4]]"
33055,16056,942,1024,"[[1024  128    4    2]
 [ 256  512    8   16]
 [   8   64    4    2]
 [   2   32    8    4]]"
37045,16048,940,1024,"[[   2  512  128   32]
 [1024  256   64    8]
 [   8    4   16    4]
 [   2    8    4    2]]"
39182,16048,940,1024,"[[   2  512  256   16]
 [1024  128   64    8]
 [   8    4   32    4]
 [   4    8    4    2]]"
40605,16020,934,1024,"[[   2  128    4    2]
 [ 512   64  256   16]
 [1024    8   32    4]
 [   2    4    8    2]]"
36841,16016,956,1024,"[[   2    4   32    4]
 [   4 1024  256  128]
 [   8  512   32   16]
 [  16    4   16    4]]"
24768,16016,933,1024,"[[1024  512  256    2]
 [ 128   64    4   32]
 [   4    8   16    2]
 [   2    4    2    8]]"
26243,16012,933,1024,"[[   2    4 1024  256]
 [   4  128  512    2]
 [  16    2   64   32]
 [   2    8    2    4]]"
25065,15996,940,1024,"[[   4 1024    2   16]
 [  16  512    4    8]
 [   2   64  256    4]
 [   8    4  128    2]]"
39444,15992,934,1024,"[[ 512  256 1024   16]
 [ 128   64   16    8]
 [   2   16    8    4]
 [   4    2    4    2]]"
14256,15988,925,1024,"[[   4 1024  512    8]
 [   2  256  128   32]
 [   8   16    8    4]
 [  64    2    4    2]]"
40239,15988,938,1024,"[[ 256    4  512   16]
 [  16 1024   64    8]
 [   4  128    4    2]
 [   2    4    8    4]]"
29267,15984,937,1024,"[[1024  512  128    8]
 [ 256   64   16    4]
 [   4   16    8    2]
 [   2    4    2    4]]"
38941,15980,939,1024,"[[   2    8  512  128]
 [1024  256   64    2]
 [   8    2    4   16]
 [   2    8    2    8]]"
38382,15972,934,1024,"[[   4    8    4    2]
 [ 256   64 1024    4]
 [   4   16  128  512]
 [   2    4   16    8]]"
38621,15968,934,1024,"[[   4  512    2   16]
 [ 256 1024   64    4]
 [   4    8  128    2]
 [   2    4   16    4]]"
35853,15968,933,1024,"[[   8 1024  256    2]
 [   4   64  128  512]
 [  16    4    2    8]
 [   2   16    4    2]]"
35136,15964,946,1024,"[[   8  512  256   64]
 [  64 1024   64   32]
 [  16    4   16    4]
 [   2    8    4    2]]"
39385,15960,946,1024,"[[   8  512  128    4]
 [   4 1024  256   32]
 [  16   32   16    4]
 [   4    2    8    2]]"
33190,15960,924,1024,"[[   2    4  512    4]
 [ 256 1024   64  128]
 [   4    8   32    4]
 [   2    4    8    2]]"
25556,15944,925,1024,"[[   4 1024  512    2]
 [   8  128  256   16]
 [  16    8   64    8]
 [   8    4    2    4]]"
33137,15944,941,1024,"[[  32 1024  256    2]
 [   8  512   16   32]
 [   4   16  128    8]
 [   2    4    8    4]]"
39906,15932,927,1024,"[[  16  512  256    8]
 [   8 1024  128    4]
 [   4   64    2    8]
 [   2    4    8    2]]"
39478,15928,923,1024,"[[ 512    4  128    4]
 [   4 1024   64   16]
 [  16  256    2    8]
 [   2    8    4    2]]"
21893,15924,937,1024,"[[1024    2  256   32]
 [  16  512   16    8]
 [   4  128    8    4]
 [   2   32    4    2]]"
40329,15920,926,1024,"[[   2    8    4   64]
 [   4  512  256    4]
 [1024  128   16    2]
 [   2    8    2    4]]"
34600,15896,934,1024,"[[ 256    4   32    2]
 [1024  512  128    8]
 [   4    8   16    4]
 [   8    4    2   32]]"
32109,15880,930,1024,"[[  32  512  256    2]
 [   8 1024  128    8]
 [   4   32   16    4]
 [   2    8    4    2]]"
33548,15880,912,1024,"[[   2 1024    2   16]
 [   4  128  512    8]
 [ 256   64    4    2]
 [   2    4   16    4]]"
34444,15868,928,1024,"[[ 512    2   32    2]
 [   4 1024  128   16]
 [   2   32  256    2]
 [   8    2    8    4]]"
32543,15864,927,1024,"[[1024  512  128   32]
 [ 256   32    8    4]
 [   8   16    4    2]
 [   2    4    2    4]]"
33107,15860,952,1024,"[[   2  512    4    2]
 [   8 1024   64   32]
 [  32  256   16    2]
 [   8   16    4   64]]"
41847,15856,926,1024,"[[   2    4  512    8]
 [   4 1024  128    2]
 [  32  256   16    4]
 [   4   32    4    2]]"
29247,15852,923,1024,"[[   4  512  256   32]
 [   2  128   16    8]
 [1024   32    8    4]
 [   4    8    4    2]]"
32848,15852,920,1024,"[[1024  512  256   32]
 [ 128   32   16    4]
 [   4   16    4    2]
 [   2    8    2    4]]"
